VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD3.x, TEXCOORD3.y, TEXCOORD3.z
0, 0,  0.05678, -0.00425, -0.00644,  0.00, -0.14263,  0.98978, -1.00,  0.00,  0.00, -1.00,  0.00,  0.00,  0.00,  2.00,  0.05886,  0.16667,  0.05886,  0.16667,  0.05886,  0.16667,  0.05678, -0.00425, -0.00644
1, 1,  0.05678,  0.10448,  0.00923,  0.00, -0.10713,  0.99424, -1.00,  0.00,  0.00, -1.00,  0.03529,  0.00,  0.00,  2.00,  0.05886,  0.33333,  0.05886,  0.33333,  0.05886,  0.33333,  0.05678,  0.10448,  0.00923
2, 2, -0.07713,  0.10448,  0.00923,  0.00, -0.10713,  0.99424, -1.00,  0.00,  0.00, -1.00,  0.03529,  0.00,  0.00,  2.00,  0.31802,  0.33333,  0.31802,  0.33333,  0.31802,  0.33333, -0.07713,  0.10448,  0.00923
3, 0,  0.05678, -0.00425, -0.00644,  0.00, -0.14263,  0.98978, -1.00,  0.00,  0.00, -1.00,  0.00,  0.00,  0.00,  2.00,  0.05886,  0.16667,  0.05886,  0.16667,  0.05886,  0.16667,  0.05678, -0.00425, -0.00644
4, 2, -0.07713,  0.10448,  0.00923,  0.00, -0.10713,  0.99424, -1.00,  0.00,  0.00, -1.00,  0.03529,  0.00,  0.00,  2.00,  0.31802,  0.33333,  0.31802,  0.33333,  0.31802,  0.33333, -0.07713,  0.10448,  0.00923
5, 3, -0.07713, -0.00425, -0.00644,  0.00, -0.14263,  0.98978, -1.00,  0.00,  0.00, -1.00,  0.00,  0.00,  0.00,  2.00,  0.31802,  0.16667,  0.31802,  0.16667,  0.31802,  0.16667, -0.07713, -0.00425, -0.00644
6, 1,  0.05678,  0.10448,  0.00923,  0.00, -0.10713,  0.99424, -1.00,  0.00,  0.00, -1.00,  0.03529,  0.00,  0.00,  2.00,  0.05886,  0.33333,  0.05886,  0.33333,  0.05886,  0.33333,  0.05678,  0.10448,  0.00923
7, 4, -0.07713,  0.21404,  0.01708,  0.00, -0.03577,  0.99936, -1.00,  0.00,  0.00, -1.00,  0.1451,  0.00,  0.00,  2.00,  0.31802,  0.50,  0.31802,  0.50,  0.31802,  0.50, -0.07713,  0.21404,  0.01708
8, 2, -0.07713,  0.10448,  0.00923,  0.00, -0.10713,  0.99424, -1.00,  0.00,  0.00, -1.00,  0.03529,  0.00,  0.00,  2.00,  0.31802,  0.33333,  0.31802,  0.33333,  0.31802,  0.33333, -0.07713,  0.10448,  0.00923
9, 1,  0.05678,  0.10448,  0.00923,  0.00, -0.10713,  0.99424, -1.00,  0.00,  0.00, -1.00,  0.03529,  0.00,  0.00,  2.00,  0.05886,  0.33333,  0.05886,  0.33333,  0.05886,  0.33333,  0.05678,  0.10448,  0.00923
10, 5,  0.05678,  0.21404,  0.01708,  0.00, -0.03577,  0.99936, -1.00,  0.00,  0.00, -1.00,  0.1451,  0.00,  0.00,  2.00,  0.05886,  0.50,  0.05886,  0.50,  0.05886,  0.50,  0.05678,  0.21404,  0.01708
11, 4, -0.07713,  0.21404,  0.01708,  0.00, -0.03577,  0.99936, -1.00,  0.00,  0.00, -1.00,  0.1451,  0.00,  0.00,  2.00,  0.31802,  0.50,  0.31802,  0.50,  0.31802,  0.50, -0.07713,  0.21404,  0.01708
12, 5,  0.05678,  0.21404,  0.01708,  0.00, -0.03577,  0.99936, -1.00,  0.00,  0.00, -1.00,  0.1451,  0.00,  0.00,  2.00,  0.05886,  0.50,  0.05886,  0.50,  0.05886,  0.50,  0.05678,  0.21404,  0.01708
13, 6, -0.07713,  0.32389,  0.01708,  0.00,  0.03577,  0.99936, -1.00,  0.00,  0.00, -1.00,  0.33725,  0.00,  0.00,  2.00,  0.31802,  0.66667,  0.31802,  0.66667,  0.31802,  0.66667, -0.07713,  0.32389,  0.01708
14, 4, -0.07713,  0.21404,  0.01708,  0.00, -0.03577,  0.99936, -1.00,  0.00,  0.00, -1.00,  0.1451,  0.00,  0.00,  2.00,  0.31802,  0.50,  0.31802,  0.50,  0.31802,  0.50, -0.07713,  0.21404,  0.01708
15, 5,  0.05678,  0.21404,  0.01708,  0.00, -0.03577,  0.99936, -1.00,  0.00,  0.00, -1.00,  0.1451,  0.00,  0.00,  2.00,  0.05886,  0.50,  0.05886,  0.50,  0.05886,  0.50,  0.05678,  0.21404,  0.01708
16, 7,  0.05678,  0.32389,  0.01708,  0.00,  0.03577,  0.99936, -1.00,  0.00,  0.00, -1.00,  0.33725,  0.00,  0.00,  2.00,  0.05886,  0.66667,  0.05886,  0.66667,  0.05886,  0.66667,  0.05678,  0.32389,  0.01708
17, 6, -0.07713,  0.32389,  0.01708,  0.00,  0.03577,  0.99936, -1.00,  0.00,  0.00, -1.00,  0.33725,  0.00,  0.00,  2.00,  0.31802,  0.66667,  0.31802,  0.66667,  0.31802,  0.66667, -0.07713,  0.32389,  0.01708
18, 7,  0.05678,  0.32389,  0.01708,  0.00,  0.03577,  0.99936, -1.00,  0.00,  0.00, -1.00,  0.33725,  0.00,  0.00,  2.00,  0.05886,  0.66667,  0.05886,  0.66667,  0.05886,  0.66667,  0.05678,  0.32389,  0.01708
19, 8, -0.07713,  0.43345,  0.00923,  0.00,  0.10713,  0.99424, -1.00,  0.00,  0.00, -1.00,  0.61569,  0.00,  0.00,  2.00,  0.31802,  0.83333,  0.31802,  0.83333,  0.31802,  0.83333, -0.07713,  0.43345,  0.00923
20, 6, -0.07713,  0.32389,  0.01708,  0.00,  0.03577,  0.99936, -1.00,  0.00,  0.00, -1.00,  0.33725,  0.00,  0.00,  2.00,  0.31802,  0.66667,  0.31802,  0.66667,  0.31802,  0.66667, -0.07713,  0.32389,  0.01708
21, 7,  0.05678,  0.32389,  0.01708,  0.00,  0.03577,  0.99936, -1.00,  0.00,  0.00, -1.00,  0.33725,  0.00,  0.00,  2.00,  0.05886,  0.66667,  0.05886,  0.66667,  0.05886,  0.66667,  0.05678,  0.32389,  0.01708
22, 9,  0.05678,  0.43345,  0.00923,  0.00,  0.10713,  0.99424, -1.00,  0.00,  0.00, -1.00,  0.61569,  0.00,  0.00,  2.00,  0.05886,  0.83333,  0.05886,  0.83333,  0.05886,  0.83333,  0.05678,  0.43345,  0.00923
23, 8, -0.07713,  0.43345,  0.00923,  0.00,  0.10713,  0.99424, -1.00,  0.00,  0.00, -1.00,  0.61569,  0.00,  0.00,  2.00,  0.31802,  0.83333,  0.31802,  0.83333,  0.31802,  0.83333, -0.07713,  0.43345,  0.00923
24, 9,  0.05678,  0.43345,  0.00923,  0.00,  0.10713,  0.99424, -1.00,  0.00,  0.00, -1.00,  0.61569,  0.00,  0.00,  2.00,  0.05886,  0.83333,  0.05886,  0.83333,  0.05886,  0.83333,  0.05678,  0.43345,  0.00923
25, 10, -0.07713,  0.54218, -0.00644,  0.00,  0.14263,  0.98978, -1.00,  0.00,  0.00, -1.00,  1.00,  0.00,  0.00,  2.00,  0.31802,  1.00,  0.31802,  1.00,  0.31802,  1.00, -0.07713,  0.54218, -0.00644
26, 8, -0.07713,  0.43345,  0.00923,  0.00,  0.10713,  0.99424, -1.00,  0.00,  0.00, -1.00,  0.61569,  0.00,  0.00,  2.00,  0.31802,  0.83333,  0.31802,  0.83333,  0.31802,  0.83333, -0.07713,  0.43345,  0.00923
27, 9,  0.05678,  0.43345,  0.00923,  0.00,  0.10713,  0.99424, -1.00,  0.00,  0.00, -1.00,  0.61569,  0.00,  0.00,  2.00,  0.05886,  0.83333,  0.05886,  0.83333,  0.05886,  0.83333,  0.05678,  0.43345,  0.00923
28, 11,  0.05678,  0.54218, -0.00644,  0.00,  0.14263,  0.98978, -1.00,  0.00,  0.00, -1.00,  1.00,  0.00,  0.00,  2.00,  0.05886,  1.00,  0.05886,  1.00,  0.05886,  1.00,  0.05678,  0.54218, -0.00644
29, 10, -0.07713,  0.54218, -0.00644,  0.00,  0.14263,  0.98978, -1.00,  0.00,  0.00, -1.00,  1.00,  0.00,  0.00,  2.00,  0.31802,  1.00,  0.31802,  1.00,  0.31802,  1.00, -0.07713,  0.54218, -0.00644
