VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD3.x, TEXCOORD3.y, TEXCOORD3.z
0, 0,  0.31448,  0.66626, -0.58448,  0.27324,  0.7531,  0.59848, -0.95607,  0.14396,  0.25536, -1.00,  0.63922,  0.00,  0.00,  2.00,  0.00763,  0.51913,  0.22249,  0.40566,  0.22249,  0.40566,  0.31448,  0.66626, -0.58448
1, 1,  0.00382,  0.71304, -0.5015,  0.06391,  0.77217,  0.6322, -0.99565,  0.00628,  0.09299, -1.00,  1.00,  0.00,  0.00,  2.00,  0.13821,  0.51913,  0.28667,  0.40566,  0.28667,  0.40566,  0.00382,  0.71304, -0.5015
2, 2,  0.02282,  0.53017, -0.28008,  0.06969,  0.70852,  0.70224, -0.99567,  0.00604,  0.09271, -1.00,  0.70588,  0.00,  0.00,  2.00,  0.13821,  0.39085,  0.28667,  0.34261,  0.28667,  0.34261,  0.02282,  0.53017, -0.28008
3, 0,  0.31448,  0.66626, -0.58448,  0.27324,  0.7531,  0.59848, -0.95607,  0.14396,  0.25536, -1.00,  0.63922,  0.00,  0.00,  2.00,  0.00763,  0.51913,  0.22249,  0.40566,  0.22249,  0.40566,  0.31448,  0.66626, -0.58448
4, 2,  0.02282,  0.53017, -0.28008,  0.06969,  0.70852,  0.70224, -0.99567,  0.00604,  0.09271, -1.00,  0.70588,  0.00,  0.00,  2.00,  0.13821,  0.39085,  0.28667,  0.34261,  0.28667,  0.34261,  0.02282,  0.53017, -0.28008
5, 3,  0.33348,  0.4834, -0.36305,  0.28169,  0.69226,  0.6644, -0.95607,  0.14396,  0.25536, -1.00,  0.4549,  0.00,  0.00,  2.00,  0.00763,  0.39085,  0.22249,  0.34261,  0.22249,  0.34261,  0.33348,  0.4834, -0.36305
6, 4, -0.34641,  0.66626, -0.52776, -0.14877,  0.75617,  0.63724, -0.98847, -0.13202, -0.07411, -1.00,  1.00,  0.00,  0.00,  2.00,  0.2812,  0.51913,  0.35695,  0.40566,  0.35695,  0.40566, -0.34641,  0.66626, -0.52776
7, 2,  0.02282,  0.53017, -0.28008,  0.06969,  0.70852,  0.70224, -0.99567,  0.00604,  0.09271, -1.00,  0.70588,  0.00,  0.00,  2.00,  0.13821,  0.39085,  0.28667,  0.34261,  0.28667,  0.34261,  0.02282,  0.53017, -0.28008
8, 1,  0.00382,  0.71304, -0.5015,  0.06391,  0.77217,  0.6322, -0.99565,  0.00628,  0.09299, -1.00,  1.00,  0.00,  0.00,  2.00,  0.13821,  0.51913,  0.28667,  0.40566,  0.28667,  0.40566,  0.00382,  0.71304, -0.5015
9, 4, -0.34641,  0.66626, -0.52776, -0.14877,  0.75617,  0.63724, -0.98847, -0.13202, -0.07411, -1.00,  1.00,  0.00,  0.00,  2.00,  0.2812,  0.51913,  0.35695,  0.40566,  0.35695,  0.40566, -0.34641,  0.66626, -0.52776
10, 5, -0.32741,  0.4834, -0.30634, -0.14562,  0.69508,  0.70403, -0.98847, -0.13202, -0.07411, -1.00,  0.70588,  0.00,  0.00,  2.00,  0.2812,  0.39085,  0.35695,  0.34261,  0.35695,  0.34261, -0.32741,  0.4834, -0.30634
11, 2,  0.02282,  0.53017, -0.28008,  0.06969,  0.70852,  0.70224, -0.99567,  0.00604,  0.09271, -1.00,  0.70588,  0.00,  0.00,  2.00,  0.13821,  0.39085,  0.28667,  0.34261,  0.28667,  0.34261,  0.02282,  0.53017, -0.28008
12, 6,  0.34922,  0.26262, -0.17967,  0.29168,  0.55397,  0.77977, -0.95607,  0.14396,  0.25536, -1.00,  0.0902,  0.00,  0.00,  2.00,  0.00763,  0.26045,  0.22249,  0.27852,  0.22249,  0.27852,  0.34922,  0.26262, -0.17967
13, 3,  0.33348,  0.4834, -0.36305,  0.28169,  0.69226,  0.6644, -0.95607,  0.14396,  0.25536, -1.00,  0.4549,  0.00,  0.00,  2.00,  0.00763,  0.39085,  0.22249,  0.34261,  0.22249,  0.34261,  0.33348,  0.4834, -0.36305
14, 2,  0.02282,  0.53017, -0.28008,  0.06969,  0.70852,  0.70224, -0.99567,  0.00604,  0.09271, -1.00,  0.70588,  0.00,  0.00,  2.00,  0.13821,  0.39085,  0.28667,  0.34261,  0.28667,  0.34261,  0.02282,  0.53017, -0.28008
15, 6,  0.34922,  0.26262, -0.17967,  0.29168,  0.55397,  0.77977, -0.95607,  0.14396,  0.25536, -1.00,  0.0902,  0.00,  0.00,  2.00,  0.00763,  0.26045,  0.22249,  0.27852,  0.22249,  0.27852,  0.34922,  0.26262, -0.17967
16, 2,  0.02282,  0.53017, -0.28008,  0.06969,  0.70852,  0.70224, -0.99567,  0.00604,  0.09271, -1.00,  0.70588,  0.00,  0.00,  2.00,  0.13821,  0.39085,  0.28667,  0.34261,  0.28667,  0.34261,  0.02282,  0.53017, -0.28008
17, 7,  0.03856,  0.3094, -0.09669,  0.0796,  0.57021,  0.81763, -0.99567,  0.00604,  0.09272, -1.00,  0.19608,  0.00,  0.00,  2.00,  0.13821,  0.26045,  0.28667,  0.27852,  0.28667,  0.27852,  0.03856,  0.3094, -0.09669
18, 5, -0.32741,  0.4834, -0.30634, -0.14562,  0.69508,  0.70403, -0.98847, -0.13202, -0.07411, -1.00,  0.70588,  0.00,  0.00,  2.00,  0.2812,  0.39085,  0.35695,  0.34261,  0.35695,  0.34261, -0.32741,  0.4834, -0.30634
19, 7,  0.03856,  0.3094, -0.09669,  0.0796,  0.57021,  0.81763, -0.99567,  0.00604,  0.09272, -1.00,  0.19608,  0.00,  0.00,  2.00,  0.13821,  0.26045,  0.28667,  0.27852,  0.28667,  0.27852,  0.03856,  0.3094, -0.09669
20, 2,  0.02282,  0.53017, -0.28008,  0.06969,  0.70852,  0.70224, -0.99567,  0.00604,  0.09271, -1.00,  0.70588,  0.00,  0.00,  2.00,  0.13821,  0.39085,  0.28667,  0.34261,  0.28667,  0.34261,  0.02282,  0.53017, -0.28008
21, 5, -0.32741,  0.4834, -0.30634, -0.14562,  0.69508,  0.70403, -0.98847, -0.13202, -0.07411, -1.00,  0.70588,  0.00,  0.00,  2.00,  0.2812,  0.39085,  0.35695,  0.34261,  0.35695,  0.34261, -0.32741,  0.4834, -0.30634
22, 8, -0.31167,  0.26262, -0.12295, -0.13577,  0.55637,  0.81977, -0.98847, -0.13202, -0.07411, -1.00,  0.19608,  0.00,  0.00,  2.00,  0.2812,  0.26045,  0.35695,  0.27852,  0.35695,  0.27852, -0.31167,  0.26262, -0.12295
23, 7,  0.03856,  0.3094, -0.09669,  0.0796,  0.57021,  0.81763, -0.99567,  0.00604,  0.09272, -1.00,  0.19608,  0.00,  0.00,  2.00,  0.13821,  0.26045,  0.28667,  0.27852,  0.28667,  0.27852,  0.03856,  0.3094, -0.09669
24, 6,  0.34922,  0.26262, -0.17967,  0.29168,  0.55397,  0.77977, -0.95607,  0.14396,  0.25536, -1.00,  0.0902,  0.00,  0.00,  2.00,  0.00763,  0.26045,  0.22249,  0.27852,  0.22249,  0.27852,  0.34922,  0.26262, -0.17967
25, 7,  0.03856,  0.3094, -0.09669,  0.0796,  0.57021,  0.81763, -0.99567,  0.00604,  0.09272, -1.00,  0.19608,  0.00,  0.00,  2.00,  0.13821,  0.26045,  0.28667,  0.27852,  0.28667,  0.27852,  0.03856,  0.3094, -0.09669
