VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD3.x, TEXCOORD3.y, TEXCOORD3.z
0, 0,  0.18545, -0.06344,  0.07631, -0.49775, -0.15822,  0.85277, -0.86613,  0.1422, -0.47917, -1.00,  0.00,  0.00,  0.00,  2.00,  0.66672,  0.32597,  0.62632,  0.33,  0.62632,  0.33,  0.18545, -0.06344,  0.07631
1, 1,  0.09338,  0.32203,  0.09409, -0.58076, -0.09962,  0.80796, -0.77251,  0.3805, -0.50837, -1.00,  1.00,  0.00,  0.00,  2.00,  0.72201,  0.51772,  0.65101,  0.41562,  0.65101,  0.41562,  0.09338,  0.32203,  0.09409
2, 2, -0.08652, -0.0685, -0.08338, -0.54554, -0.12526,  0.82867, -0.82105,  0.27821, -0.49847, -1.00,  0.00,  0.00,  0.00,  2.00,  0.89924,  0.30024,  0.73015,  0.31851,  0.73015,  0.31851, -0.08652, -0.0685, -0.08338
3, 2, -0.08652, -0.0685, -0.08338, -0.54554, -0.12526,  0.82867, -0.82105,  0.27821, -0.49847, -1.00,  0.00,  0.00,  0.00,  2.00,  0.89924,  0.30024,  0.73015,  0.31851,  0.73015,  0.31851, -0.08652, -0.0685, -0.08338
4, 1,  0.09338,  0.32203,  0.09409, -0.58076, -0.09962,  0.80796, -0.77251,  0.3805, -0.50837, -1.00,  1.00,  0.00,  0.00,  2.00,  0.72201,  0.51772,  0.65101,  0.41562,  0.65101,  0.41562,  0.09338,  0.32203,  0.09409
5, 3, -0.10825,  0.40881, -0.05984, -0.62345, -0.0668,  0.77901, -0.69599,  0.50139, -0.51401, -1.00,  1.00,  0.00,  0.00,  2.00,  0.9549,  0.49328,  0.755,  0.4047,  0.755,  0.4047, -0.10825,  0.40881, -0.05984
6, 4,  0.15667, -0.05886, -0.14247,  0.69121, -0.06269,  0.71993, -0.70983, -0.24572,  0.66012, -1.00,  0.00,  0.00,  0.00,  2.00,  0.68832,  0.11947,  0.22249,  0.55196,  0.22249,  0.55196,  0.15667, -0.05886, -0.14247
7, 5,  0.15667,  0.46201, -0.14247,  0.72744,  0.00,  0.68617, -0.62273, -0.41998,  0.66017, -1.00,  1.00,  0.00,  0.00,  2.00,  0.68832,  0.31148,  0.22249,  0.65691,  0.22249,  0.65691,  0.15667,  0.46201, -0.14247
8, 6, -0.12902,  0.26934,  0.1604,  0.69083, -0.0633,  0.72024, -0.7105, -0.24393,  0.66006, -1.00,  1.00,  0.00,  0.00,  2.00,  0.91648,  0.31148,  0.34719,  0.65691,  0.34719,  0.65691, -0.12902,  0.26934,  0.1604
9, 4,  0.15667, -0.05886, -0.14247,  0.69121, -0.06269,  0.71993, -0.70983, -0.24572,  0.66012, -1.00,  0.00,  0.00,  0.00,  2.00,  0.68832,  0.11947,  0.22249,  0.55196,  0.22249,  0.55196,  0.15667, -0.05886, -0.14247
10, 6, -0.12902,  0.26934,  0.1604,  0.69083, -0.0633,  0.72024, -0.7105, -0.24393,  0.66006, -1.00,  1.00,  0.00,  0.00,  2.00,  0.91648,  0.31148,  0.34719,  0.65691,  0.34719,  0.65691, -0.12902,  0.26934,  0.1604
11, 7, -0.14572, -0.05886,  0.11127,  0.63592, -0.14582,  0.75786, -0.76604,  0.00,  0.64279, -1.00,  0.00,  0.00,  0.00,  2.00,  0.91648,  0.11947,  0.34719,  0.55196,  0.34719,  0.55196, -0.14572, -0.05886,  0.11127
