VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD3.x, TEXCOORD3.y, TEXCOORD3.z
0, 0,  0.03236, -0.05494,  0.0164, -0.81214,  0.00097,  0.58346,  0.57194, -0.19643,  0.79643,  1.00,  0.06667,  0.00,  0.00,  2.00,  0.83241,  0.30704,  0.74609,  0.01243,  0.74609,  0.01243,  0.03236, -0.05494,  0.0164
1, 1,  0.16949, -0.05494,  0.12283, -0.61228,  0.0008,  0.79064,  0.7753, -0.19543,  0.6006,  1.00,  0.06667,  0.00,  0.00,  2.00,  0.96699,  0.32337,  0.80362,  0.01941,  0.80362,  0.01941,  0.16949, -0.05494,  0.12283
2, 2,  0.16859,  0.17025,  0.12167, -0.60979,  0.07403,  0.7891,  0.76427, -0.20871,  0.61019,  1.00,  0.65882,  0.00,  0.00,  2.00,  0.93361,  0.42956,  0.78935,  0.0648,  0.78935,  0.0648,  0.16859,  0.17025,  0.12167
3, 0,  0.03236, -0.05494,  0.0164, -0.81214,  0.00097,  0.58346,  0.57194, -0.19643,  0.79643,  1.00,  0.06667,  0.00,  0.00,  2.00,  0.83241,  0.30704,  0.74609,  0.01243,  0.74609,  0.01243,  0.03236, -0.05494,  0.0164
4, 2,  0.16859,  0.17025,  0.12167, -0.60979,  0.07403,  0.7891,  0.76427, -0.20871,  0.61019,  1.00,  0.65882,  0.00,  0.00,  2.00,  0.93361,  0.42956,  0.78935,  0.0648,  0.78935,  0.0648,  0.16859,  0.17025,  0.12167
5, 3,  0.03239,  0.17025,  0.01644, -0.80817,  0.07089,  0.58466,  0.56014, -0.21416,  0.80024,  1.00,  0.65882,  0.00,  0.00,  2.00,  0.79917,  0.41199,  0.73188,  0.05729,  0.73188,  0.05729,  0.03239,  0.17025,  0.01644
6, 4, -0.01502, -0.05494, -0.11938, -0.94468,  0.00106,  0.328,  0.32239, -0.18107,  0.92913,  1.00,  0.06667,  0.00,  0.00,  2.00,  0.72228,  0.29517,  0.69902,  0.00736,  0.69902,  0.00736, -0.01502, -0.05494, -0.11938
7, 0,  0.03236, -0.05494,  0.0164, -0.81214,  0.00097,  0.58346,  0.57194, -0.19643,  0.79643,  1.00,  0.06667,  0.00,  0.00,  2.00,  0.83241,  0.30704,  0.74609,  0.01243,  0.74609,  0.01243,  0.03236, -0.05494,  0.0164
8, 3,  0.03239,  0.17025,  0.01644, -0.80817,  0.07089,  0.58466,  0.56014, -0.21416,  0.80024,  1.00,  0.65882,  0.00,  0.00,  2.00,  0.79917,  0.41199,  0.73188,  0.05729,  0.73188,  0.05729,  0.03239,  0.17025,  0.01644
9, 4, -0.01502, -0.05494, -0.11938, -0.94468,  0.00106,  0.328,  0.32239, -0.18107,  0.92913,  1.00,  0.06667,  0.00,  0.00,  2.00,  0.72228,  0.29517,  0.69902,  0.00736,  0.69902,  0.00736, -0.01502, -0.05494, -0.11938
10, 3,  0.03239,  0.17025,  0.01644, -0.80817,  0.07089,  0.58466,  0.56014, -0.21416,  0.80024,  1.00,  0.65882,  0.00,  0.00,  2.00,  0.79917,  0.41199,  0.73188,  0.05729,  0.73188,  0.05729,  0.03239,  0.17025,  0.01644
11, 5, -0.01412,  0.17025, -0.11822, -0.94321,  0.06438,  0.32591,  0.30842, -0.19484,  0.93108,  1.00,  0.65882,  0.00,  0.00,  2.00,  0.68932,  0.39907,  0.68493,  0.05177,  0.68493,  0.05177, -0.01412,  0.17025, -0.11822
12, 6,  0.05027,  0.36422, -0.00606, -0.80854,  0.14172,  0.57111,  0.53302, -0.23479,  0.81288,  1.00,  1.00,  0.00,  0.00,  2.00,  0.765,  0.50062,  0.71728,  0.09517,  0.71728,  0.09517,  0.05027,  0.36422, -0.00606
13, 3,  0.03239,  0.17025,  0.01644, -0.80817,  0.07089,  0.58466,  0.56014, -0.21416,  0.80024,  1.00,  0.65882,  0.00,  0.00,  2.00,  0.79917,  0.41199,  0.73188,  0.05729,  0.73188,  0.05729,  0.03239,  0.17025,  0.01644
14, 2,  0.16859,  0.17025,  0.12167, -0.60979,  0.07403,  0.7891,  0.76427, -0.20871,  0.61019,  1.00,  0.65882,  0.00,  0.00,  2.00,  0.93361,  0.42956,  0.78935,  0.0648,  0.78935,  0.0648,  0.16859,  0.17025,  0.12167
15, 6,  0.05027,  0.36422, -0.00606, -0.80854,  0.14172,  0.57111,  0.53302, -0.23479,  0.81288,  1.00,  1.00,  0.00,  0.00,  2.00,  0.765,  0.50062,  0.71728,  0.09517,  0.71728,  0.09517,  0.05027,  0.36422, -0.00606
16, 2,  0.16859,  0.17025,  0.12167, -0.60979,  0.07403,  0.7891,  0.76427, -0.20871,  0.61019,  1.00,  0.65882,  0.00,  0.00,  2.00,  0.93361,  0.42956,  0.78935,  0.0648,  0.78935,  0.0648,  0.16859,  0.17025,  0.12167
17, 7,  0.18568,  0.36422,  0.09815, -0.60398,  0.14736,  0.78326,  0.74804, -0.23435,  0.6209,  1.00,  1.00,  0.00,  0.00,  2.00,  0.90514,  0.52112,  0.77718,  0.10394,  0.77718,  0.10394,  0.18568,  0.36422,  0.09815
18, 8,  0.0045,  0.36422, -0.13974, -0.93823,  0.1249,  0.32267,  0.29399, -0.20394,  0.9338,  1.00,  1.00,  0.00,  0.00,  2.00,  0.6489,  0.48706,  0.66765,  0.08938,  0.66765,  0.08938,  0.0045,  0.36422, -0.13974
